kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,N,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
atomic_hotspot,--rows 1048576 --cols 1 --block 256 --iters 100 --warmup 10 --reps 50,7,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,10,2.602973,0.012997,1048576,1,100,256,4096,1048576,N,0,838860800,0.000000,4,0,atomics_hotspot,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,322.27,0.00
conv2d_3x3,--rows 1024 --cols 1024 --warmup 10 --reps 50,30,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,10,0.028518,0.000289,1024,1024,0,256,4096,1048576,rows_cols,18874368,8388608,2.250000,8388608,0,stencil_3x3,same,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,294.15,661.84
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,10,0.116985,0.003009,1024,1024,0,256,4096,1048576,rows_cols,102760448,8388608,12.250000,8388608,0,stencil_7x7,same,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,71.71,878.41
dot_product,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.019194,0.000128,1048576,1,0,256,4096,1048576,N,2097152,8404996,0.249513,8388608,1024,shared_reduction,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,437.90,109.26
histogram,--rows 1048576 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,10,0.067441,0.002450,1048576,1,0,256,4096,1048576,N,0,8388608,0.000000,4195328,0,atomics_256bins,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,124.38,0.00
matmul_naive,--rows 512 --cols 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,32,32,1,10,50,10,0.314393,0.005160,512,512,0,256,1024,262144,rows_cols,268435456,3145728,85.333333,3145728,0,mm_naive,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,10.01,853.82
matmul_tiled,--rows 512 --cols 512 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 2080 Ti,32,32,1,16,16,1,10,50,10,0.186533,0.005140,512,512,0,1024,256,262144,rows_cols,268435456,3145728,85.333333,3145728,8192,mm_tiled,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,16.86,1439.08
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,16,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,128,128,1,20,100,10,0.085860,0.001576,2048,2048,0,256,16384,4194304,rows_cols,0,33554432,0.000000,33554432,0,transpose_naive,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,390.80,0.00
random_access,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.018284,0.000051,1048576,1,0,256,4096,1048576,N,0,8388608,0.000000,8388608,0,random_gather_scatter,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,458.80,0.00
reduce_sum,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.015555,0.000154,1048576,1,0,256,4096,1048576,N,1048575,4210692,0.249027,4194304,1024,shared_reduction,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,270.70,67.41
saxpy,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.029405,0.006903,1048576,1,0,256,4096,1048576,N,2097152,12582912,0.166667,12582912,0,coalesced,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,427.92,71.32
shared_bank_conflict,--warmup 20 --reps 100,206,4096,NVIDIA GeForce RTX 2080 Ti,1024,1,1,0,0,0,20,100,10,0.001496,0.000104,0,0,0,1024,1,0,N,0,0,0.000000,4096,4096,smem_bank_conflict,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,0.00,0.00
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,32,4224,NVIDIA GeForce RTX 2080 Ti,32,32,1,64,64,1,20,100,10,0.072943,0.002009,2048,2048,0,1024,4096,4194304,rows_cols,0,33554432,0.000000,33554432,4224,transpose_tiled,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,460.01,0.00
strided_copy_8,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.021448,0.000078,1048576,1,0,256,4096,1048576,N,0,8388608,0.000000,8388608,0,strided_8,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,391.11,0.00
vector_add,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.025821,0.001111,1048576,1,0,256,4096,1048576,N,1048576,12582912,0.083333,12582912,0,coalesced,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,487.31,40.61
vector_add_divergent,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.095916,0.002050,1048576,1,0,256,4096,1048576,N,1048576,12582912,0.083333,12582912,0,divergent,,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,131.19,10.93
