kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,size_kind,N,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding
saxpy,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.050901,0.000048,0,0,0,256,256,N,65536,131072,786432,0.166667,786432,0,coalesced,
saxpy,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.050900,0.000039,0,0,0,256,1024,N,262144,524288,3145728,0.166667,3145728,0,coalesced,
saxpy,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.051077,0.000122,0,0,0,256,4096,N,1048576,2097152,12582912,0.166667,12582912,0,coalesced,
saxpy,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.051189,0.000039,0,0,0,256,16384,N,4194304,8388608,50331648,0.166667,50331648,0,coalesced,
vector_add,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.050858,0.000046,0,0,0,256,256,N,65536,65536,786432,0.083333,786432,0,coalesced,
vector_add,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.050877,0.000043,0,0,0,256,1024,N,262144,262144,3145728,0.083333,3145728,0,coalesced,
vector_add,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.050905,0.000025,0,0,0,256,4096,N,1048576,1048576,12582912,0.083333,12582912,0,coalesced,
vector_add,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.051178,0.000053,0,0,0,256,16384,N,4194304,4194304,50331648,0.083333,50331648,0,coalesced,
atomic_hotspot,--rows 1048576 --cols 1 --block 256 --iters 10 --warmup 10 --reps 50,7,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,10,50,40,2.591093,2.013121,0,0,10,256,4096,N,1048576,0,83886080,0.000000,4,0,atomics_hotspot,
vector_add_divergent,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.166635,0.000069,0,0,0,256,256,N,65536,65536,786432,0.083333,786432,0,divergent,
vector_add_divergent,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.166626,0.000075,0,0,0,256,1024,N,262144,262144,3145728,0.083333,3145728,0,divergent,
vector_add_divergent,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.166638,0.000132,0,0,0,256,4096,N,1048576,1048576,12582912,0.083333,12582912,0,divergent,
vector_add_divergent,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.166640,0.000084,0,0,0,256,16384,N,4194304,4194304,50331648,0.083333,50331648,0,divergent,
naive_transpose,--rows 512 --cols 512 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,20,100,10,0.028022,0.000013,512,512,0,256,1024,rows_cols,0,0,2097152,0.000000,2097152,0,transpose_naive,
naive_transpose,--rows 1024 --cols 1024 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,20,100,10,0.105726,0.000027,1024,1024,0,256,4096,rows_cols,0,0,8388608,0.000000,8388608,0,transpose_naive,
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,16,16,1,128,128,1,20,100,10,0.396715,0.000062,2048,2048,0,256,16384,rows_cols,0,0,33554432,0.000000,33554432,0,transpose_naive,
naive_transpose,--rows 4096 --cols 4096 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,16,16,1,256,256,1,20,100,10,1.526491,0.070366,4096,4096,0,256,65536,rows_cols,0,0,134217728,0.000000,134217728,0,transpose_naive,
random_access,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.036007,0.000036,0,0,0,256,256,N,65536,0,524288,0.000000,524288,0,random_gather_scatter,
random_access,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.036032,0.000037,0,0,0,256,1024,N,262144,0,2097152,0.000000,2097152,0,random_gather_scatter,
random_access,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.036018,0.000051,0,0,0,256,4096,N,1048576,0,8388608,0.000000,8388608,0,random_gather_scatter,
random_access,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.036028,0.000043,0,0,0,256,16384,N,4194304,0,33554432,0.000000,33554432,0,random_gather_scatter,
histogram,--rows 65536 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,10,50,10,0.204566,0.000388,0,0,0,256,256,N,65536,0,524288,0.000000,263168,0,atomics_256bins,
histogram,--rows 262144 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,10,50,10,0.204587,0.000350,0,0,0,256,1024,N,262144,0,2097152,0.000000,1049600,0,atomics_256bins,
histogram,--rows 1048576 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,10,50,10,0.204392,0.000127,0,0,0,256,4096,N,1048576,0,8388608,0.000000,4195328,0,atomics_256bins,
histogram,--rows 4194304 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,10,50,10,0.204507,0.000285,0,0,0,256,16384,N,4194304,0,33554432,0.000000,16778240,0,atomics_256bins,
conv2d_3x3,--rows 256 --cols 256 --warmup 10 --reps 50,30,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.067199,0.000057,256,256,0,256,4096,rows_cols,0,1179648,524288,2.250000,524288,0,stencil_3x3,same
conv2d_3x3,--rows 512 --cols 512 --warmup 10 --reps 50,30,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.067216,0.000029,512,512,0,256,4096,rows_cols,0,4718592,2097152,2.250000,2097152,0,stencil_3x3,same
conv2d_3x3,--rows 1024 --cols 1024 --warmup 10 --reps 50,30,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.067220,0.000047,1024,1024,0,256,4096,rows_cols,0,18874368,8388608,2.250000,8388608,0,stencil_3x3,same
conv2d_3x3,--rows 2048 --cols 2048 --warmup 10 --reps 50,30,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.067206,0.000040,2048,2048,0,256,4096,rows_cols,0,75497472,33554432,2.250000,33554432,0,stencil_3x3,same
dot_product,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.045364,0.000210,0,0,0,256,256,N,65536,131072,525316,0.249511,524288,1024,shared_reduction,
dot_product,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.045649,0.000154,0,0,0,256,1024,N,262144,524288,2101252,0.249512,2097152,1024,shared_reduction,
dot_product,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.045515,0.000159,0,0,0,256,4096,N,1048576,2097152,8404996,0.249513,8388608,1024,shared_reduction,
dot_product,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.045596,0.000221,0,0,0,256,16384,N,4194304,8388608,33619972,0.249513,33554432,1024,shared_reduction,
shared_transpose,--rows 512 --cols 512 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,20,100,10,0.008741,0.000035,512,512,0,1024,256,rows_cols,0,0,2097152,0.000000,2097152,4224,transpose_tiled,
shared_transpose,--rows 1024 --cols 1024 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,32,32,1,20,100,10,0.039154,0.000138,1024,1024,0,1024,1024,rows_cols,0,0,8388608,0.000000,8388608,4224,transpose_tiled,
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,64,64,1,20,100,10,0.145273,0.000330,2048,2048,0,1024,4096,rows_cols,0,0,33554432,0.000000,33554432,4224,transpose_tiled,
shared_transpose,--rows 4096 --cols 4096 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,128,128,1,20,100,10,0.560757,0.000225,4096,4096,0,1024,16384,rows_cols,0,0,134217728,0.000000,134217728,4224,transpose_tiled,
shared_bank_conflict,--rows 1 --cols 1 --warmup 20 --reps 100,206,4096,NVIDIA GeForce GTX TITAN X,1024,1,1,1,1,1,20,100,10,0.001362,0.000059,0,0,0,1024,1,N,1,0,0,0.000000,4096,4096,smem_bank_conflict,
strided_copy_8,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.036590,0.000040,0,0,0,256,256,N,65536,0,524288,0.000000,524288,0,strided_8,
strided_copy_8,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.036574,0.000026,0,0,0,256,1024,N,262144,0,2097152,0.000000,2097152,0,strided_8,
strided_copy_8,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.036573,0.000022,0,0,0,256,4096,N,1048576,0,8388608,0.000000,8388608,0,strided_8,
strided_copy_8,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.036593,0.000024,0,0,0,256,16384,N,4194304,0,33554432,0.000000,33554432,0,strided_8,
reduce_sum,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.037693,0.000098,0,0,0,256,256,N,65536,65535,263172,0.249020,262144,1024,shared_reduction,
reduce_sum,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.037800,0.000009,0,0,0,256,1024,N,262144,262143,1052676,0.249025,1048576,1024,shared_reduction,
reduce_sum,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.037699,0.000104,0,0,0,256,4096,N,1048576,1048575,4210692,0.249027,4194304,1024,shared_reduction,
reduce_sum,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.037746,0.000068,0,0,0,256,16384,N,4194304,4194303,16842756,0.249027,16777216,1024,shared_reduction,
conv2d_7x7,--rows 256 --cols 256 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267757,0.000051,256,256,0,256,4096,rows_cols,0,6422528,524288,12.250000,524288,0,stencil_7x7,same
conv2d_7x7,--rows 512 --cols 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267814,0.000051,512,512,0,256,4096,rows_cols,0,25690112,2097152,12.250000,2097152,0,stencil_7x7,same
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267814,0.000029,1024,1024,0,256,4096,rows_cols,0,102760448,8388608,12.250000,8388608,0,stencil_7x7,same
conv2d_7x7,--rows 2048 --cols 2048 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267808,0.000044,2048,2048,0,256,4096,rows_cols,0,411041792,33554432,12.250000,33554432,0,stencil_7x7,same
matmul_naive,--rows 128 --cols 128 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.574897,0.000357,128,128,0,256,1024,rows_cols,0,4194304,196608,21.333333,196608,0,mm_naive,
matmul_naive,--rows 256 --cols 256 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.667630,0.000475,256,256,0,256,1024,rows_cols,0,33554432,786432,42.666667,786432,0,mm_naive,
matmul_naive,--rows 512 --cols 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.666912,0.000693,512,512,0,256,1024,rows_cols,0,268435456,3145728,85.333333,3145728,0,mm_naive,
matmul_naive,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.666831,0.000686,1024,1024,0,256,1024,rows_cols,0,2147483648,12582912,170.666667,12582912,0,mm_naive,
matmul_naive,--rows 2048 --cols 2048 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.666934,0.000521,2048,2048,0,256,1024,rows_cols,0,17179869184,50331648,341.333333,50331648,0,mm_naive,
matmul_tiled,--rows 128 --cols 128 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.269027,0.000145,128,128,0,1024,256,rows_cols,0,4194304,196608,21.333333,196608,8192,mm_tiled,
matmul_tiled,--rows 256 --cols 256 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.269090,0.000095,256,256,0,1024,256,rows_cols,0,33554432,786432,42.666667,786432,8192,mm_tiled,
matmul_tiled,--rows 512 --cols 512 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.311206,0.000164,512,512,0,1024,256,rows_cols,0,268435456,3145728,85.333333,3145728,8192,mm_tiled,
matmul_tiled,--rows 1024 --cols 1024 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.311291,0.000121,1024,1024,0,1024,256,rows_cols,0,2147483648,12582912,170.666667,12582912,8192,mm_tiled,
matmul_tiled,--rows 2048 --cols 2048 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.311182,0.000121,2048,2048,0,1024,256,rows_cols,0,17179869184,50331648,341.333333,50331648,8192,mm_tiled,
